,title,article_url
187,[情報] NewJeans HYEIN成為LV新品牌大使,https://www.ptt.cc/bbs/KoreaStar/M.1672367154.A.CF2.html
188,[閒聊] 無限挑戰版的NewJeans-Ditto(完整版),https://www.ptt.cc/bbs/KoreaStar/M.1672325002.A.23F.html
189,[閒聊] SEVENTEEN和NewJeans尷尬打招呼事件,https://www.ptt.cc/bbs/KoreaStar/M.1672298267.A.1C5.html
190,[新聞] NewJeans捐唱片收入幫助聽障人士,https://www.ptt.cc/bbs/KoreaStar/M.1672294235.A.769.html
191,[閒聊] 決定NewJeans Hyein獨有的氛圍的是？,https://www.ptt.cc/bbs/KoreaStar/M.1672070379.A.E86.html
192,[情報] NewJeans-Ditto達成PAK,https://www.ptt.cc/bbs/KoreaStar/M.1671977642.A.C70.html
193,[閒聊] NewJeans Haerin ShyShyShy vs歐摸那.gif,https://www.ptt.cc/bbs/KoreaStar/M.1671898946.A.684.html
194,[閒聊] [歌謠大戰] NewJeans -Intro + Attention,https://www.ptt.cc/bbs/KoreaStar/M.1671897588.A.E5C.html
195,[閒聊] NewJeans歌謠大戰的公放卡,https://www.ptt.cc/bbs/KoreaStar/M.1671897183.A.742.html
196,[閒聊] 讓人摸不著頭緒關於NewJeans的Minji手掌大,https://www.ptt.cc/bbs/KoreaStar/M.1671731134.A.E1F.html
197,[閒聊] NewJeans Hyein去日本後送給閔熙珍的禮物,https://www.ptt.cc/bbs/KoreaStar/M.1671723197.A.1EB.html
198,[閒聊] NewJeans-Ditto拿下Melon Top100一位,https://www.ptt.cc/bbs/KoreaStar/M.1671542365.A.C03.html
199,Re: [閒聊] NewJeans - Ditto 回歸先行曲,https://www.ptt.cc/bbs/KoreaStar/M.1671516572.A.F82.html
